Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol-1];Catalyst ID;Active Site Density [µmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gCH3OH gcat-1 hr-1];Temperature [K];Total Pressure [kPa];Inlet Inert Used;Inert, Inlet Mole fraction [%] ;CO, Inlet Mole fraction [%];CH4, Inlet Mole Fraction [%];Methanol, Inlet Mole fraction [%];Inlet P,Methanol [kPa];Inlet Inert Flow Rate [sccm];Total Inlet Flow Rate [mol/hr];Reactor Configuration;Reactor ID;Rate [μmol product gcat-1min-1];Confidence Interval for Rate [μmol gcat-1 min-1];STY [mol product mol active site-1 hr-1 ];Selectivity CO [%];Selectivity CH4 [%];Selectivity CO2 [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier;;;;;;;;;;;
MDH-0045;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;0.15;0.14;0.38;47;0;53;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0046;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;0.29;0.14;0.75;51;0;49;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0047;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;11;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;59.75;23.25;34.51;94;0;6;0.60;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0048;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;11;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;88.30;23.25;50.99;95;0;5;0.90;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0049;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;11;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;183.61;23.25;106.04;97;0;3;1.80;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0050;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;11;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;255.12;23.25;147.34;98;0;2;2.60;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0051;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;145.31;23.25;83.92;97;0;3;1.10;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0052;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;133.99;23.25;77.38;97;0;3;1.20;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0053;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;127.14;23.25;73.43;95;0;5;1.90;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0054;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;12;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;7.82;2.10;32.00;71;1;28;0.08;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
