Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol⁻¹];Catalyst ID;Active Site Density [μmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gHCOOH gcat⁻¹ hr⁻¹];Temperature [K];Total Pressure [kPa];Inert Used;Formic Acid, Inlet Mol fraction [%];CO, Inlet Mol fraction [%];CO₂, Inlet Mol fraction [%];H₂, Inlet Mol fraction [%];H₂O, Inlet Mol fraction [%];Inert, Inlet Mol fraction [%];Reactor Configuration;Reactor ID;Rate [μmol gcat⁻¹ min⁻¹];STY [mol product mol active site⁻¹ hr⁻¹ ];STY [mol CO2 mol active site-1 s-1];STY [mol CO mol active site-1 s-1];Selectivity CO₂ [%];Selectivity CO [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier
FAD-0042;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.1;373;101.33;Helium;2.62;0.1;0;0;0;97.29;"Downflow; Packed Bed";PBR_000004;50.74;72;0.02;-;N/A;N/A;0.93;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0043;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;0.9;373;101.33;Helium;1;0;0;0;0;99;"Downflow; Packed Bed";PBR_000005;9.3;24.1;0.01;0;100;0;2.73;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0044;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;1.9;373;101.33;Helium;2;0;0;0;0;98;"Downflow; Packed Bed";PBR_000005;15.42;39.96;0.01;0;100;0;2.26;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0045;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;1.9;373;101.33;Helium;2;0;0;0;0;98;"Downflow; Packed Bed";PBR_000005;18.65;48.34;0.01;0;100;0;2.74;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0046;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;3.8;373;101.33;Helium;4;0;0;0;0;96;"Downflow; Packed Bed";PBR_000005;33;85.53;0.02;0;100;0;2.42;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0047;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;343;101.33;Helium;3;0;0;0;0;97;"Downflow; Packed Bed";PBR_000005;5.05;13.09;0;0;100;0;0.49;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0048;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;353;101.33;Helium;3;0;0;0;0;97;"Downflow; Packed Bed";PBR_000005;8;20.73;0.01;0;100;0;0.78;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0049;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;363;101.33;Helium;3;0;0;0;0;97;"Downflow; Packed Bed";PBR_000005;15.72;40.74;0.01;0;100;0;1.54;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0050;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;368;101.33;Helium;3;0;0;0;0;97;"Downflow; Packed Bed";PBR_000005;21.35;55.33;0.02;0;100;0;2.09;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0051;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;373;101.33;Helium;3;0;0;0;0;97;"Downflow; Packed Bed";PBR_000005;24.11;62.49;0.02;0;100;0;2.36;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0052;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;378;101.33;Helium;3;0;0;0;0;97;"Downflow; Packed Bed";PBR_000005;32.55;84.36;0.02;0;100;0;3.19;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0053;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;383;101.33;Helium;3;0;0;0;0;97;"Downflow; Packed Bed";PBR_000005;41.3;107.04;0.03;0;100;0;4.04;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0054;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;373;101.33;Helium;3;0;0;1;0;96;"Downflow; Packed Bed";PBR_000005;23.91;61.97;0.02;0;100;0;2.34;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0055;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;373;101.33;Helium;3;0;0;4;0;94;"Downflow; Packed Bed";PBR_000005;24.09;62.43;0.02;0;100;0;2.36;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0056;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;373;101.33;Helium;3;0;0;6;0;92;"Downflow; Packed Bed";PBR_000005;24.32;63.03;0.02;0;100;0;2.38;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0057;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;373;101.33;Helium;3;0;1;0;0;96;"Downflow; Packed Bed";PBR_000005;23.69;61.4;0.02;0;100;0;2.32;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0058;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;373;101.33;Helium;3;0;3;0;0;95;"Downflow; Packed Bed";PBR_000005;23.76;61.58;0.02;0;100;0;2.33;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
